Rank,Priority,prop_screened,prop_found
324,High,0.37630662020905925,0.6743295019157088
325,High,0.37746806039488967,0.6743295019157088
326,High,0.3786295005807201,0.6781609195402298
327,High,0.3797909407665505,0.6781609195402298
328,High,0.38095238095238093,0.6781609195402298
329,High,0.3821138211382114,0.6781609195402298
330,High,0.3832752613240418,0.6819923371647509
331,High,0.38443670150987225,0.6819923371647509
332,High,0.38559814169570267,0.6819923371647509
333,High,0.3867595818815331,0.6819923371647509
334,High,0.3879210220673635,0.6819923371647509
335,High,0.389082462253194,0.6819923371647509
336,High,0.3902439024390244,0.6819923371647509
337,High,0.3914053426248548,0.6819923371647509
338,High,0.39256678281068524,0.6819923371647509
339,High,0.39372822299651566,0.685823754789272
340,High,0.3948896631823461,0.6896551724137931
341,High,0.39605110336817656,0.6896551724137931
342,High,0.397212543554007,0.6896551724137931
343,High,0.3983739837398374,0.6934865900383141
344,High,0.3995354239256678,0.6973180076628352
345,High,0.40069686411149824,0.7011494252873564
346,High,0.40185830429732866,0.7011494252873564
347,High,0.40301974448315914,0.7011494252873564
348,High,0.40418118466898956,0.7049808429118773
349,High,0.40534262485482,0.7049808429118773
350,High,0.4065040650406504,0.7049808429118773
351,High,0.4076655052264808,0.7049808429118773
352,High,0.4088269454123113,0.7049808429118773
353,High,0.4099883855981417,0.7049808429118773
354,High,0.41114982578397213,0.7049808429118773
355,High,0.41231126596980255,0.7049808429118773
356,High,0.413472706155633,0.7049808429118773
357,High,0.4146341463414634,0.7049808429118773
358,High,0.41579558652729387,0.7049808429118773
359,High,0.4169570267131243,0.7049808429118773
360,High,0.4181184668989547,0.7049808429118773
361,High,0.41927990708478513,0.7049808429118773
362,Medium,0.42044134727061555,0.7049808429118773
363,Medium,0.42160278745644597,0.7049808429118773
364,Medium,0.42276422764227645,0.7049808429118773
365,Medium,0.42392566782810687,0.7049808429118773
366,Medium,0.4250871080139373,0.7049808429118773
367,Medium,0.4262485481997677,0.7049808429118773
368,Medium,0.4274099883855981,0.7049808429118773
369,Medium,0.42857142857142855,0.7088122605363985
370,Medium,0.429732868757259,0.7126436781609196
371,Medium,0.43089430894308944,0.7126436781609196
372,Medium,0.43205574912891986,0.7126436781609196
373,Medium,0.4332171893147503,0.7126436781609196
374,Medium,0.4343786295005807,0.7126436781609196
375,Medium,0.4355400696864111,0.7126436781609196
376,Medium,0.4367015098722416,0.7126436781609196
377,Medium,0.437862950058072,0.7164750957854407
378,Medium,0.43902439024390244,0.7164750957854407
379,Medium,0.44018583042973286,0.7164750957854407
380,Medium,0.4413472706155633,0.7164750957854407
381,Medium,0.4425087108013937,0.7164750957854407
382,Medium,0.4436701509872242,0.7164750957854407
383,Medium,0.4448315911730546,0.7164750957854407
384,Medium,0.445993031358885,0.7164750957854407
385,Medium,0.44715447154471544,0.7164750957854407
386,Medium,0.44831591173054586,0.7203065134099617
387,Medium,0.44947735191637633,0.7203065134099617
388,Medium,0.45063879210220675,0.7241379310344828
389,Medium,0.4518002322880372,0.7241379310344828
390,Medium,0.4529616724738676,0.7241379310344828
391,Medium,0.454123112659698,0.7279693486590039
392,Medium,0.45528455284552843,0.7318007662835249
393,Medium,0.4564459930313589,0.7318007662835249
394,Medium,0.45760743321718933,0.7318007662835249
395,Medium,0.45876887340301975,0.735632183908046
396,Medium,0.45993031358885017,0.735632183908046
397,Medium,0.4610917537746806,0.735632183908046
398,Medium,0.462253193960511,0.7394636015325671
399,Medium,0.4634146341463415,0.7394636015325671
400,Medium,0.4645760743321719,0.7394636015325671
401,Medium,0.4657375145180023,0.7394636015325671
402,Medium,0.46689895470383275,0.7394636015325671
403,Medium,0.46806039488966317,0.7394636015325671
404,Medium,0.4692218350754936,0.7432950191570882
405,Medium,0.47038327526132406,0.7432950191570882
406,Medium,0.4715447154471545,0.7432950191570882
407,Medium,0.4727061556329849,0.7432950191570882
408,Medium,0.4738675958188153,0.7432950191570882
409,Medium,0.47502903600464574,0.7432950191570882
410,Medium,0.47619047619047616,0.7432950191570882
411,Medium,0.47735191637630664,0.7471264367816092
412,Medium,0.47851335656213706,0.7471264367816092
413,Medium,0.4796747967479675,0.7471264367816092
414,Medium,0.4808362369337979,0.7509578544061303
415,Medium,0.4819976771196283,0.7509578544061303
416,Medium,0.4831591173054588,0.7509578544061303
417,Medium,0.4843205574912892,0.7547892720306514
418,Medium,0.48548199767711964,0.7547892720306514
419,Medium,0.48664343786295006,0.7547892720306514
420,Medium,0.4878048780487805,0.7547892720306514
421,Medium,0.4889663182346109,0.7547892720306514
422,Medium,0.4901277584204414,0.7586206896551724
423,Medium,0.4912891986062718,0.7624521072796935
424,Medium,0.4924506387921022,0.7624521072796935
425,Medium,0.49361207897793263,0.7662835249042146
426,Medium,0.49477351916376305,0.7662835249042146
427,Medium,0.4959349593495935,0.7662835249042146
428,Medium,0.49709639953542395,0.7662835249042146
429,Medium,0.49825783972125437,0.7662835249042146
430,Medium,0.4994192799070848,0.7662835249042146
431,Medium,0.5005807200929152,0.7662835249042146
432,Medium,0.5017421602787456,0.7701149425287356
433,Medium,0.502903600464576,0.7701149425287356
434,Medium,0.5040650406504065,0.7701149425287356
435,Medium,0.5052264808362369,0.7701149425287356
436,Medium,0.5063879210220673,0.7701149425287356
437,Medium,0.5075493612078978,0.7739463601532567
438,Medium,0.5087108013937283,0.7739463601532567
439,Medium,0.5098722415795587,0.7739463601532567
440,Medium,0.5110336817653891,0.7739463601532567
441,Medium,0.5121951219512195,0.7777777777777778
442,Medium,0.5133565621370499,0.7777777777777778
443,Medium,0.5145180023228804,0.7777777777777778
444,Medium,0.5156794425087108,0.7777777777777778
445,Medium,0.5168408826945412,0.7816091954022989
446,Medium,0.5180023228803716,0.7854406130268199
447,Medium,0.519163763066202,0.789272030651341
448,Medium,0.5203252032520326,0.789272030651341
449,Medium,0.521486643437863,0.789272030651341
450,Medium,0.5226480836236934,0.789272030651341
451,Medium,0.5238095238095238,0.789272030651341
452,Medium,0.5249709639953543,0.789272030651341
453,Medium,0.5261324041811847,0.789272030651341
454,Medium,0.5272938443670151,0.7931034482758621
455,Medium,0.5284552845528455,0.7931034482758621
456,Medium,0.5296167247386759,0.7931034482758621
457,Medium,0.5307781649245064,0.7931034482758621
