Name_2018b,Name_2019,Notes
Enterovirus G,Enterovirus G,
Enterovirus H,Enterovirus H,
Enterovirus I,Enterovirus I,
Epizootic hemorrhagic disease virus,Epizootic hemorrhagic disease virus,
Epsilonpapillomavirus 1,Epsilonpapillomavirus 1,
Equid alphaherpesvirus 1,Equid alphaherpesvirus 1,
Equid alphaherpesvirus 3,Equid alphaherpesvirus 3,
Equid alphaherpesvirus 4,Equid alphaherpesvirus 4,
Equid alphaherpesvirus 8,Equid alphaherpesvirus 8,
Equid alphaherpesvirus 9,Equid alphaherpesvirus 9,
Equid gammaherpesvirus 2,Equid gammaherpesvirus 2,
Equid gammaherpesvirus 5,Equid gammaherpesvirus 5,
Alphaarterivirus equid,Alphaarterivirus equid,
Equine encephalosis virus,Equine encephalosis virus,
Equine foamy virus,Equine foamy virus,
Equine infectious anemia virus,Equine infectious anemia virus,
Equine mastadenovirus A,Equine mastadenovirus A,
Equine mastadenovirus B,Equine mastadenovirus B,
Equine rhinitis A virus,Equine rhinitis A virus,
Equine torovirus,Equine torovirus,
Erbovirus A,Erbovirus A,
Eubenangee virus,Eubenangee virus,
European bat 1 lyssavirus,European bat 1 lyssavirus,
European bat 2 lyssavirus,European bat 2 lyssavirus,
European brown hare syndrome virus,European brown hare syndrome virus,
Everglades virus,Everglades virus,
Eyach virus,Eyach coltivirus,
Felid alphaherpesvirus 1,Felid alphaherpesvirus 1,
Feline calicivirus,Feline calicivirus,
Feline foamy virus,Feline foamy virus,
Feline immunodeficiency virus,Feline immunodeficiency virus,
Feline leukemia virus,Feline leukemia virus,
Feline morbillivirus,Feline morbillivirus,
Ferak feravirus,Ferak feravirus,
Fikirini ledantevirus,Fikirini ledantevirus,
Flexal mammarenavirus,Flexal mammarenavirus,
Foot-and-mouth disease virus,Foot-and-mouth disease virus,
Fort Morgan virus,Fort Morgan virus,
Gairo mammarenavirus,Gairo mammarenavirus,
Gammapapillomavirus 1,Gammapapillomavirus 1,
Gammapapillomavirus 2,Gammapapillomavirus 2,
Gammapapillomavirus 3,Gammapapillomavirus 3,
Gammapapillomavirus 4,Gammapapillomavirus 4,
Gammapapillomavirus 5,Gammapapillomavirus 5,
Getah virus,Getah virus,
Ghanaian bat henipavirus,Ghanaian bat henipavirus,
Gibbon ape leukemia virus,Gibbon ape leukemia virus,
Goatpox virus,Goatpox virus,
Golden reptarenavirus,Golden reptarenavirus,
Gouleako goukovirus,Gouleako goukovirus,
Great Island virus,Great Island virus,
Ground squirrel hepatitis virus,Ground squirrel hepatitis virus,
Guama orthobunyavirus,Guama orthobunyavirus,
Guanarito mammarenavirus,Guanarito mammarenavirus,
Guaroa orthobunyavirus,Guaroa orthobunyavirus,
Hantaan orthohantavirus,Hantaan orthohantavirus,
Harkavirus A,Harkavirus A,
Hedgehog coronavirus 1,Hedgehog coronavirus 1,
Hendra henipavirus,Hendra henipavirus,
Hepacivirus C,Hepacivirus C,
Hepatitis B virus,Hepatitis B virus,
Hepatovirus A,Hepatovirus A,
Hepatovirus B,Hepatovirus B,
Herbert herbevirus,Herbert herbevirus,
Highlands J virus,Highlands J virus,
Hirame novirhabdovirus,Hirame novirhabdovirus,
Human alphaherpesvirus 1,Human alphaherpesvirus 1,
Human alphaherpesvirus 2,Human alphaherpesvirus 2,
Human alphaherpesvirus 3,Human alphaherpesvirus 3,
